schid,grades2015,percmin2015,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state
050160540042008,K 1 2 3 4 5 6,46.9,414,"14,268",20.3,,,20.5
050160540042009,K 1 2 3 4 5 6,58.0,407,"14,268",12.8,,,20.5
050160540042010,K 1 2 3 4 5 6,61.9,554,"14,268",21.8,,,20.5
050160540042011,K 1 2 3 4 5 6,71.3,408,"14,268",49.0,,,20.5
050160540042013,K 1 2 3 4 5 6,72.9,436,"14,268",40.6,,,20.5
050160540042015,K 1 2 3 4 5 6,37.1,412,"14,268",20.9,,,20.5
050160540042018,K 1 2 3 4 5 6,75.1,539,"14,268",53.6,,,20.5
050160540042019,K 1 2 3 4 5 6,67.4,389,"14,268",41.1,,,20.5
050160540042022,K 1 2 3 4 5 6,81.4,457,"14,268",55.4,,,20.5
050160540042023,K 1 2 3 4 5 6,51.1,585,"14,268",21.2,,,20.5
050160540042026,K 1 2 3 4 5 6,70.4,449,"14,268",38.1,,,20.5
050160540042027,K 1 2 3 4 5 6,58.1,697,"14,268",22.1,,,20.5
050160540042028,K 1 2 3 4 5 6,59.3,462,"14,268",40.9,,,20.5
050160540042029,K 1 2 3 4 5 6,39.5,554,"14,268",15.7,,,20.5
050160540042030,K 1 2 3 4 5 6,76.7,498,"14,268",54.8,,,20.5
050160540042031,K 1 2 3 4 5 6,62.8,452,"14,268",42.9,,,20.5
050160540042032,K 1 2 3 4 5 6 7 8,37.0,384,"14,268",10.7,,,20.5
050160570021004,6 7 8,19.4,711,"2,252",11.4,,,20.5
050160570022002,2 3 4 5,22.1,507,"2,252",16.0,,,20.5
050160570022005,2 3 4 5,23.3,463,"2,252",9.3,,,20.5
050160570022008,PK K 1,25.7,571,"2,252",15.4,,,20.5
050160590041010,6 7 8,59.7,920,"7,010",60.0,,,20.5
